Day,EUR sellers,USD sellers,USD to EUR rate
61,0.226333333333,0.209666666667,0.998953162095
62,0.216,0.215833333333,0.992234181754
63,0.212666666667,0.221166666667,0.98625537959
64,0.206833333333,0.226833333333,0.983599505011
65,0.2105,0.232333333333,0.985328396247
66,0.207333333333,0.237,0.982318820702
67,0.2075,0.241,0.977327500972
68,0.214666666667,0.239166666667,0.979549041204
69,0.22,0.238333333333,0.980736280421
70,0.211166666667,0.239333333333,0.979293702154
71,0.222,0.2395,0.978915359004
72,0.224166666667,0.235333333333,0.982510095073
73,0.23,0.238666666667,0.984551942745
74,0.237333333333,0.217666666667,0.993348747869
75,0.243833333333,0.205666666667,1.00289121116
76,0.2455,0.203666666667,0.997580135567
77,0.247333333333,0.203166666667,0.99593673279
78,0.252166666667,0.194833333333,1.00061590161
79,0.249666666667,0.197333333333,0.993496243754
80,0.254166666667,0.198666666667,0.99512007236
81,0.249166666667,0.1965,0.989122153278
82,0.254,0.1935,0.987842726456
83,0.2545,0.1945,0.980848737943
84,0.255,0.203333333333,0.983150253935
85,0.2435,0.209166666667,0.979713741415
86,0.2355,0.211,0.978226568747
87,0.236,0.209,0.985297741441
88,0.231,0.209166666667,0.989962321459
89,0.229666666667,0.214,0.995954439658
90,0.237166666667,0.204333333333,1.00260583946
91,0.241666666667,0.196666666667,1.00066451316
92,0.246666666667,0.197666666667,1.01016408131
93,0.2515,0.1835,1.0131578772
94,0.254,0.184833333333,1.00808180479
95,0.251833333333,0.1845,1.00459133393
96,0.256666666667,0.177666666667,1.00410178821
97,0.261833333333,0.174166666667,1.0052465244
98,0.255,0.175166666667,1.00037391881
99,0.2505,0.175166666667,0.995969388114
100,0.253666666667,0.179,0.993443669596
101,0.255,0.178666666667,0.993197918252
102,0.254,0.177833333333,0.982752285373
103,0.247333333333,0.177833333333,0.977250533895
104,0.238666666667,0.180833333333,0.969740072426
105,0.2365,0.1825,0.965166569776
106,0.233166666667,0.183,0.956027765729
107,0.2355,0.1865,0.951431035462
108,0.227833333333,0.1905,0.948567599956
109,0.226166666667,0.194166666667,0.94952976646
110,0.232833333333,0.198333333333,0.944712097789
111,0.228166666667,0.200666666667,0.946295908105
112,0.229,0.1935,0.953641880554
113,0.2225,0.188333333333,0.957797791664
114,0.239166666667,0.191833333333,0.951504858797
115,0.244,0.190166666667,0.955734194099
116,0.246166666667,0.189,0.957277517661
117,0.2485,0.186,0.960161103773
118,0.243666666667,0.1875,0.955471872694
119,0.2515,0.187333333333,0.953445861172
120,0.251,0.188166666667,0.949941125332
121,0.250666666667,0.183166666667,0.962294231166
122,0.244833333333,0.179,0.96143505522
123,0.240333333333,0.185,0.958353572023
124,0.236,0.191,0.948384215409
125,0.227333333333,0.194833333333,0.950466275213
126,0.2245,0.2,0.944576386587
127,0.22,0.201833333333,0.948713460666
128,0.216833333333,0.202833333333,0.952704341611
129,0.220833333333,0.208666666667,0.945221855131
130,0.221333333333,0.217,0.953449354031
131,0.2255,0.223166666667,0.955768472965
132,0.231833333333,0.220833333333,0.958545511796
133,0.225666666667,0.220166666667,0.956893902023
134,0.231666666667,0.2115,0.961050345984
135,0.234666666667,0.204333333333,0.960455654101
136,0.240333333333,0.2,0.963111459081
137,0.246333333333,0.202166666667,0.961767080388
138,0.250166666667,0.200166666667,0.96858375762
139,0.254,0.201,0.972198640625
140,0.262833333333,0.198833333333,0.973692221526
141,0.266833333333,0.197333333333,0.979970737763
142,0.27,0.201,0.996370733959
143,0.275333333333,0.194,0.998298547684
144,0.282666666667,0.1875,1.00605905643
145,0.291833333333,0.179,1.00360604606
146,0.296166666667,0.179,0.998463447846
147,0.295166666667,0.181833333333,1.00071655357
148,0.2975,0.177833333333,0.99929241775
149,0.2985,0.172833333333,0.99813038412
150,0.307666666667,0.162,1.00514101164
151,0.305,0.142833333333,0.998421050698
152,0.308666666667,0.133666666667,1.00186037083
153,0.3135,0.129666666667,1.00215193138
154,0.3185,0.126333333333,0.998564214693
155,0.3315,0.1245,0.992381043115
156,0.327666666667,0.122333333333,0.993729526769
157,0.3325,0.1205,0.998511209885
158,0.325333333333,0.119,0.995281394963
159,0.329833333333,0.119833333333,0.995432980228
160,0.334666666667,0.117833333333,1.0016150679
161,0.342666666667,0.108833333333,1.00065132008
162,0.343,0.113666666667,0.998251915437
163,0.347166666667,0.120166666667,0.997614888641
164,0.342166666667,0.125666666667,0.994718156979
165,0.346833333333,0.126166666667,0.999117433143
166,0.3475,0.122166666667,1.00553369155
167,0.342333333333,0.125,1.01190049179
168,0.336666666667,0.112833333333,1.01303406328
169,0.330833333333,0.112833333333,1.01230112521
170,0.3195,0.112666666667,1.01082554562
171,0.310666666667,0.112166666667,1.01395829208
172,0.3055,0.1195,1.01290560023
173,0.306166666667,0.119,1.01524479311
174,0.3005,0.123833333333,1.0120596744
175,0.300166666667,0.1195,1.01629490274
176,0.298833333333,0.130333333333,1.026322632
177,0.3005,0.135333333333,1.0287748023
178,0.3015,0.137166666667,1.03214383853
179,0.297333333333,0.135333333333,1.02917145151
180,0.291833333333,0.135,1.02797645733
181,0.2925,0.139833333333,1.02762287347
182,0.2915,0.1445,1.02115642146
183,0.2885,0.150333333333,1.01823879019
184,0.281666666667,0.143666666667,1.01670567531
185,0.271333333333,0.148666666667,1.01257217128
186,0.2625,0.147,1.02260997925
187,0.256833333333,0.1435,1.02122507975
188,0.255333333333,0.140166666667,1.02332520289
189,0.246833333333,0.142166666667,1.04077806751
190,0.244,0.144166666667,1.04423693959
191,0.243166666667,0.142666666667,1.04058358023
192,0.244,0.144333333333,1.04140678438
193,0.237,0.142166666667,1.03850467391
194,0.237666666667,0.150166666667,1.03917454028
195,0.239666666667,0.125,1.04147847958
196,0.241333333333,0.1315,1.04759307864
197,0.239666666667,0.128,1.04793990426
198,0.240333333333,0.124666666667,1.04634301079
199,0.2415,0.117,1.04706961171
